Processors,GALE,DE,GALE,DE
1,104.8,1.12,1,1
2,55.19,0.5,1.898894727,2.24
3,35.62,0.31,2.942167322,3.612903226
4,29.14,0.29,3.596431023,3.862068966
5,23.95,0.25,4.375782881,4.48
6,19.47,0.18,5.382639959,6.222222222
7,16.31,0.17,6.425505825,6.588235294
8,14.45,0.14,7.252595156,8
9,13.19,0.13,7.945413192,8.615384615
10,12.23,0.12,8.569092396,9.333333333
11,11.47,0.11,9.136878814,10.18181818
12,9.66,0.09,10.84886128,12.44444444
13,9.12,0.08,11.49122807,14
14,8.61,0.08,12.17189315,14
15,8.46,0.07,12.38770686,16
16,7.73,0.06,13.55756792,18.66666667
