Processors,GALE,DE,GALE,DE
1,138.1955729,204.6025481,1,1
2,65.22015405,103.1720328,2.118909025,1.983120254
3,59.2921381,68.72116613,2.330757119,2.97728574
4,43.45995593,53.05882311,3.179836934,3.856145614
5,35.26649094,42.53111506,3.918608553,4.810655628
6,29.25520802,34.65471792,4.723793894,5.904031551
7,25.26835108,29.66397715,5.46911718,6.8973404
8,21.83979011,26.97694683,6.327696939,7.584347824
9,19.44547296,27.76531196,7.106824983,7.36899871
10,18.28951716,29.25077105,7.555998978,6.99477452
11,17.45958805,28.05282402,7.915168021,7.293474192
12,16.23986411,29.29134011,8.509650823,6.985086623
13,15.70472598,29.08178496,8.799616954,7.03541919
14,14.46994996,28.64469314,9.550521831,7.142773254
15,14.84760904,27.75743699,9.307597782,7.371089343
16,13.97316194,29.38133097,9.89007167,6.963692293
