Processors, DE, GALE,DE,GALE
1,990.81,227.98,1,1
2,790.2,127.21,1.253872437,1.792154705
3,573.2,89.2,1.728558967,2.555829596
4,479.46,65.5,2.066512326,3.480610687
5,426.87,57.57,2.321104786,3.960048636
6,375.42,44.92,2.639204091,5.07524488
7,371.61,40.78,2.666263018,5.590485532
8,294.41,36.9,3.365408784,6.178319783
9,278.95,32.71,3.551926869,6.969734026
10,244,28.19,4.060696721,8.087264988
11,220.92,27.69,4.48492667,8.233297219
12,188.09,24.93,5.267744165,9.144805455
13,177.71,20.5,5.575431883,11.12097561
14,163.16,21.6,6.072628095,10.55462963
15,155.97,21.7,6.352567802,10.50599078
16,145.67,22.3,6.801743667,10.22331839
