Processors,GALE,DE,GALE,DE
1,229.09,8.53,1,1
2,112.21,4.48,2.041618394,1.904017857
3,79.48,3.02,2.882360342,2.824503311
4,59.9,2.33,3.824540902,3.660944206
5,47.98,1.88,4.774697791,4.537234043
6,41.07,1.6,5.578037497,5.33125
7,35.56,1.35,6.442350956,6.318518519
8,30.97,1.17,7.397158541,7.290598291
9,27.89,1.06,8.214055217,8.047169811
10,26.25,0.96,8.727238095,8.885416667
11,24.48,0.9,9.358251634,9.477777778
12,22.37,0.77,10.2409477,11.07792208
13,19.85,0.72,11.54105793,11.84722222
14,19.01,0.67,12.05102578,12.73134328
15,17.66,0.66,12.97225368,12.92424242
16,16.56,0.62,13.8339372,13.75806452
