Processors,Time,Convergence,Diversity,Speedup
1,0.97,2.21E-05,0.392322099,1
2,0.53,2.19E-05,0.392100187,1.830188679
3,0.3,2.17E-05,0.4015886,3.233333333
4,0.23,2.11E-05,0.478025572,4.217391304
5,0.17,2.06E-05,0.430305143,5.705882353
6,0.15,2.24E-05,0.383404609,6.466666667
7,0.13,2.46E-05,0.397057608,7.461538462
8,0.11,2.11E-05,0.437911691,8.818181818
9,0.11,1.93E-05,0.412440757,8.818181818
10,0.08,2.13E-05,0.440899252,12.125
11,0.09,2.49E-05,0.390572863,10.77777778
12,0.14,2.14E-05,0.46237605,6.928571429
13,0.1,1.96E-05,0.402357109,9.7
14,0.09,2.30E-05,0.451710122,10.77777778
15,0.07,2.26E-05,0.400898961,13.85714286
16,0.06,1.98E-05,0.426064818,16.16666667
