Processors,Time,Convergence,Diversity,Speedup
1,96.38,0.000557255,0.421812492,1
2,50.32,0.000560977,0.455347601,1.915341812
3,34.96,0.000548482,0.435691154,2.756864989
4,25.92,0.000565493,0.442883892,3.718364198
5,21.46,0.000551691,0.447645797,4.491146319
6,17.98,0.000540637,0.383966586,5.360400445
7,14.95,0.000561221,0.423011961,6.446822742
8,13.17,0.000558372,0.413989597,7.318147304
9,12.35,0.00055812,0.397106128,7.804048583
10,10.56,0.000564924,0.439929962,9.126893939
11,10.13,0.000547523,0.411971081,9.514313919
12,9.14,0.000551565,0.425698614,10.54485777
13,8.43,0.000542733,0.406735265,11.43297746
14,7.67,0.0005501,0.40387034,12.56584094
15,7.58,0.000539096,0.384650418,12.71503958
16,6.97,0.000550073,0.420755988,13.82783357

